CMColor,getshell_grapestalk
CMColor,ID
CMColor,translateSingleCMCodeToANSIOffSet
CMColor,translateCMCodeToFGNumber
CMColor,translateCMCodeToANSI,String
CMColor,translateANSItoCMCode,String,String
CMColor,mixHTMLCodes,String
CMColor,mixColorCodes
CMColor,fixSourceFightColor
CMColor,standardHTMLlookups,String,String,String,String,String,String,String
CMColor,clearLookups
CMColor,standardColorLookups,File,String,String,String,String,String,String,String,String
CMColor,crosshandLoculus
CMColor,laterigradeRecriminate,String
FalconoidUnbrimming,getshell_grapestalk
CMColor,getinduced_bulleted
CMColor,ID
CMColor,translateSingleCMCodeToANSIOffSet
CMColor,translateCMCodeToFGNumber
CMColor,translateCMCodeToANSI,String
CMColor,translateANSItoCMCode,String,String
CMColor,mixHTMLCodes,String
CMColor,mixColorCodes
CMColor,fixSourceFightColor
CMColor,standardHTMLlookups,String,String,String,String,String,String,String
CMColor,clearLookups
CMColor,standardColorLookups,File,String,String,File,String,Scanner,String,String,String,String,String,String,String
CMColor,dismarkGoes,String,String,String
CMColor,dismarkGoes
ForcedlyRecompenser,getinduced_bulleted
WaterFowl,handleGetRequest,String
WaterFowl,handleOptionsRequest
WaterFowl,handleUnallowedRequest,String
WaterFowl,handlePostRequest,String
WaterFowl,handleTaintRequest
WaterFowl,writeErrorResponse,String
WaterFowl,setResponseOptions
WaterFowl,serve,Method
WaterFowl,getData
WaterFowl,ID
WaterFowl,name
WaterFowl,shortestMale
WaterFowl,shortestFemale
WaterFowl,heightVariance
WaterFowl,lightestWeight
WaterFowl,weightVariance
WaterFowl,forbiddenWornBits
WaterFowl,racialCategory
WaterFowl,racialAbilityNames
WaterFowl,racialAbilityLevels
WaterFowl,racialAbilityProficiencies
WaterFowl,racialAbilityQuals
WaterFowl,bodyMask
WaterFowl,getAgingChart
WaterFowl,availabilityCode,String,StonesoupSourceHttpServer,PipedOutputStream,String,OosporiferousGritrock
WaterFowl,affectCharStats
WaterFowl,affectPhyStats
WaterFowl,arriveStr
WaterFowl,leaveStr
WaterFowl,myNaturalWeapon
WaterFowl,healthText
WaterFowl,myResources
